execute_time,dataset,throughput
224,10000,44.642857142857146
throughput,cpu_ave_fre,cpu1_temp,cpu2_temp,cpu_ave_usage,cpu1_power,cpu2_power,mlu_phy_mem_usage,mlu_vir_mem_usage,mlu_temp,mlu_power,mlu_usage,gpu_pref,gpu_temp,gpu_power,gpu_mem_usage,gpu_usage,fpga2_power,fpga2_temp,fpga1_power,fpga1_temp,power_total,cache_usage,mem_usage
44.643,1087.4,37.0,36.0,10.9,43.8,35.6,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.17,43.0,46.55,42.0,425.0,167460516.0,8278.0
44.643,1142.35,37.0,38.0,15.45,41.599999999999994,40.95,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.24,43.0,46.4,42.0,441.0,167460258.0,8354.0
44.643,1142.3000000000002,37.0,38.0,16.2,41.599999999999994,41.0,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.24,43.0,46.31,42.0,446.5,167460268.0,8391.0
44.643,1142.7,37.5,38.0,10.55,41.15,36.349999999999994,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.17,43.0,46.37,42.0,452.0,167460276.0,8408.0
44.643,1142.25,38.0,38.5,9.95,39.599999999999994,39.099999999999994,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.120000000000005,43.0,46.44,42.0,452.5,167460294.0,8416.5
44.643,1147.65,38.0,39.0,10.899999999999999,41.2,40.65,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.120000000000005,43.0,46.5,42.0,454.0,167460318.0,8449.0
44.643,1142.1,37.5,38.0,14.25,40.8,38.6,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.120000000000005,43.0,46.47,42.0,455.0,167486390.0,8671.0
44.643,1215.2,38.0,38.5,33.65,41.900000000000006,46.7,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.120000000000005,43.0,46.355000000000004,42.0,455.0,167486392.0,8760.5
44.643,1215.9,38.0,38.0,44.5,45.0,49.900000000000006,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.17,43.0,46.26,42.0,455.5,167486394.0,8785.0
44.643,1212.15,38.0,37.5,38.25,43.8,47.5,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.115,43.0,46.22,42.0,456.0,167486398.0,8799.0
44.643,1213.45,38.5,37.5,40.849999999999994,43.95,49.5,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.150000000000006,43.0,46.405,42.0,459.0,167486400.0,8803.5
44.643,1136.2,38.5,38.5,38.15,46.2,44.849999999999994,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.065,43.0,46.57,42.0,472.0,167486406.0,8806.5
44.643,1171.5,39.5,38.5,47.15,45.35,43.75,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,45.93,43.0,46.375,42.0,472.0,167486408.0,8807.5
44.643,1165.5,41.0,38.0,47.55,45.400000000000006,44.8,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,45.97,43.0,46.24,42.0,471.5,167486410.0,8809.0
44.643,1211.75,39.5,38.0,45.75,45.150000000000006,47.9,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.019999999999996,43.0,46.290000000000006,42.0,470.0,167486446.0,8809.0
44.643,1247.15,38.0,38.0,47.55,46.25,49.7,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.16,43.0,46.24,42.0,469.0,167486536.0,8808.5
44.643,1195.0,38.0,38.0,42.25,46.099999999999994,47.85,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.25,43.0,46.14,42.0,469.0,167486598.0,8808.5
44.643,1265.5,38.0,38.0,47.8,46.95,49.7,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,45.925,43.0,46.510000000000005,42.0,471.0,167490610.0,8808.0
44.643,1295.6,38.0,38.0,49.8,48.599999999999994,48.75,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.02,43.0,46.34,42.0,471.0,167494708.0,8810.0
44.643,1171.45,38.0,38.5,45.8,45.8,45.599999999999994,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.05,43.0,46.275000000000006,42.0,470.5,167494810.0,8810.5
44.643,1150.8000000000002,38.0,38.5,41.85,44.05,47.05,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.22,43.0,46.245000000000005,42.0,469.5,167494814.0,8810.0
44.643,1178.25,38.0,38.0,44.95,45.05,47.599999999999994,4221.0,16673.0,31.0,29.0,0.0,8.0,33.5,24.0,0.0,0.0,46.36,43.0,46.375,42.0,469.0,167494816.0,8815.5
44.643,1173.45,38.5,38.0,37.2,42.7,44.45,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.144999999999996,43.0,46.405,42.0,468.5,167494818.0,8820.5
44.643,1242.4,39.0,38.0,40.6,42.45,46.05,4221.0,16673.0,31.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.17,43.0,46.52,42.0,468.0,167494820.0,8821.0
44.643,1284.05,39.0,38.0,46.35,45.25,47.7,4221.0,16673.0,31.0,29.0,0.0,8.0,33.5,24.0,0.0,0.0,46.35,43.0,46.7,42.0,468.0,167494826.0,8828.5
44.643,1213.25,39.0,38.5,46.6,47.400000000000006,48.75,4221.0,16673.0,31.0,29.0,0.0,8.0,33.0,24.0,0.0,0.0,46.394999999999996,43.0,46.59,42.0,468.0,167494832.0,8835.0
44.643,1176.05,39.0,39.0,43.55,46.45,46.45,4221.0,16673.0,31.0,29.0,0.0,8.0,33.0,24.0,0.0,0.0,46.26,43.0,46.555,42.0,467.5,167494834.0,8836.0
44.643,1144.9,38.5,39.0,41.9,44.5,42.7,4221.0,16673.0,31.0,29.0,0.0,8.0,33.0,24.0,0.0,0.0,45.915,43.0,46.44,42.0,467.0,167494838.0,8836.5
44.643,1197.3,40.0,39.0,39.8,43.75,45.5,4221.0,16673.0,31.0,29.0,0.0,8.0,33.0,24.0,0.0,0.0,46.0,43.0,46.335,42.0,467.0,167494844.0,8836.5
44.643,1155.6999999999998,41.0,39.0,40.85,43.15,45.15,4221.0,16673.0,31.0,29.0,0.0,8.0,33.0,24.0,0.0,0.0,46.05,43.0,46.33,42.0,467.0,167494844.0,8835.0
44.643,1133.05,39.5,39.0,43.5,43.55,43.4,4221.0,16673.0,31.0,29.0,0.0,8.0,33.0,24.0,0.0,0.0,46.05,43.0,46.24,42.0,467.0,167494846.0,8835.5
44.643,1143.65,38.5,39.0,43.35,43.5,44.8,4221.0,16673.0,31.0,29.0,0.0,8.0,33.0,24.0,0.0,0.0,46.0,43.0,46.22,42.0,467.0,167494852.0,8836.5
44.643,1171.45,39.0,39.0,42.150000000000006,44.45,46.3,4221.0,16673.0,31.0,29.0,0.0,8.0,33.0,24.0,0.0,0.0,46.105000000000004,43.0,46.275000000000006,42.0,467.5,167497028.0,8837.0
44.643,1278.7,40.0,39.0,45.5,43.3,49.55,4221.0,16673.0,31.0,29.0,0.0,8.0,33.0,24.0,0.0,0.0,46.01,43.0,46.365,42.0,468.0,167641786.0,8836.5
44.643,1145.9,41.0,39.0,46.85,43.400000000000006,46.4,4221.0,16673.0,31.0,29.0,0.0,8.0,33.0,24.0,0.0,0.0,45.985,43.0,46.325,42.0,468.0,167737104.0,8836.0
44.643,1156.1,40.0,39.0,46.05,44.900000000000006,45.2,4221.0,16673.0,31.0,29.0,0.0,8.0,33.0,24.0,0.0,0.0,46.06,43.0,46.27,42.0,468.0,167834854.0,8836.5
44.643,1213.4,39.0,39.0,45.65,46.8,48.5,4221.0,16673.0,31.0,29.0,0.0,8.0,33.0,24.0,0.0,0.0,46.16,43.0,46.39,42.0,468.0,167907064.0,8836.5
44.643,1185.95,40.0,39.0,42.65,46.8,47.45,4221.0,16673.0,31.0,29.0,0.0,8.0,33.0,24.0,0.0,0.0,46.065,43.0,46.69,42.0,468.0,167930732.0,8837.0
44.643,1146.75,41.0,39.0,37.65,44.35,39.5,4221.0,16673.0,31.0,29.0,0.0,8.0,33.0,24.0,0.0,0.0,46.129999999999995,43.0,46.87,42.0,468.5,167930762.0,8845.0
44.643,1161.8,40.5,39.5,43.05,42.85,45.8,4221.0,16673.0,31.0,29.0,0.0,8.0,33.0,24.0,0.0,0.0,46.135,43.0,46.24,42.0,469.0,167930768.0,8852.5
