execute_time,dataset,throughput
31,10000,322.5806451612903
throughput,cpu_ave_fre,cpu1_temp,cpu2_temp,cpu_ave_usage,cpu1_power,cpu2_power,mlu_phy_mem_usage,mlu_vir_mem_usage,mlu_temp,mlu_power,mlu_usage,gpu_pref,gpu_temp,gpu_power,gpu_mem_usage,gpu_usage,fpga2_power,fpga2_temp,fpga1_power,fpga1_temp,power_total,cache_usage,mem_usage
322.581,1160.8,39.0,46.0,16.4,39.9,43.4,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.88,41.0,46.51,44.0,450.0,164908432.0,6933.0
322.581,1213.1,41.5,45.5,14.8,41.900000000000006,41.85,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.915000000000006,41.0,46.565,44.0,453.5,164944928.0,7043.5
322.581,1212.65,40.0,46.0,15.149999999999999,42.25,41.95,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.825,41.0,46.72,44.0,454.0,164944724.0,7142.5
322.581,1179.5500000000002,39.5,45.5,12.5,43.4,41.099999999999994,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.7,41.0,46.9,44.0,457.0,164944736.0,7466.0
322.581,1497.6,40.5,45.5,33.300000000000004,48.9,48.5,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.735,41.0,46.98,44.0,460.0,164944770.0,7599.0
322.581,1982.8000000000002,41.0,46.5,64.55,48.75,66.3,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.77,41.0,57.845,44.0,461.0,164944802.0,7535.0
322.581,1920.85,41.0,47.0,60.95,47.0,62.75,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.86,41.0,66.02,44.0,471.5,164944796.0,7544.0
322.581,1886.1999999999998,42.0,47.0,60.7,47.3,63.35,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.81,41.0,62.565,44.0,487.0,164944798.0,7551.5
322.581,1956.1,40.5,46.5,64.9,49.9,65.25,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.67,41.0,58.76,44.0,492.0,164944808.0,7560.5
322.581,1906.7,42.0,46.0,60.7,46.55,63.05,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.915,41.0,58.885,44.0,495.5,164944812.0,7592.5
