execute_time,dataset,throughput
89,10000,112.35955056179775
throughput,cpu_ave_fre,cpu1_temp,cpu2_temp,cpu_ave_usage,cpu1_power,cpu2_power,mlu_phy_mem_usage,mlu_vir_mem_usage,mlu_temp,mlu_power,mlu_usage,gpu_pref,gpu_temp,gpu_power,gpu_mem_usage,gpu_usage,fpga2_power,fpga2_temp,fpga1_power,fpga1_temp,power_total,cache_usage,mem_usage
112.36,1186.7,36.0,35.0,20.3,43.3,40.6,4221.0,16673.0,31.0,29.0,0.0,8.0,32.0,24.0,0.0,0.0,45.76,43.0,46.53,42.0,425.0,167039564.0,8283.0
112.36,1142.75,36.0,37.0,7.75,39.349999999999994,40.849999999999994,4221.0,16673.0,31.0,29.0,0.0,8.0,32.0,24.0,0.0,0.0,45.95,43.0,46.24,42.0,425.0,167039564.0,8357.5
112.36,1138.5,36.0,38.0,8.649999999999999,39.65,40.45,4221.0,16673.0,31.0,29.0,0.0,8.0,32.0,24.0,0.0,0.0,45.760000000000005,43.0,46.115,42.0,432.5,167039566.0,8421.5
112.36,1147.1,36.5,37.5,14.25,40.2,40.95,4221.0,16673.0,31.0,29.0,0.0,8.0,32.0,24.0,1.5,0.0,45.92,43.0,46.28,42.0,445.0,167039572.0,8592.0
112.36,1150.5,37.0,37.5,13.65,38.25,41.3,4221.0,16673.0,31.0,29.0,0.0,5.0,32.5,29.0,253.0,1.5,46.27,43.0,46.24,42.0,450.0,167044698.0,8966.5
112.36,1145.25,37.0,38.0,11.95,40.35,38.349999999999994,4221.0,16673.0,31.0,29.0,0.0,2.0,33.0,34.0,518.0,2.5,46.225,43.0,46.205,42.0,450.0,167054350.0,9401.0
112.36,1178.15,36.5,37.0,10.9,41.3,37.05,4221.0,16673.0,31.0,29.0,0.0,2.0,33.0,48.5,4918.0,3.0,46.27,43.0,46.235,42.0,458.0,167059890.0,10388.5
112.36,1106.6,37.0,37.0,8.45,39.849999999999994,38.05,4221.0,16673.0,31.0,29.0,0.0,2.0,33.0,51.0,9089.0,9.0,46.265,43.0,46.2,42.0,459.0,167060920.0,10659.0
112.36,1071.5,37.0,36.5,6.199999999999999,37.8,38.15,4221.0,16673.0,31.0,29.0,0.0,2.0,33.0,39.0,9089.0,16.5,46.129999999999995,43.0,46.14,42.0,465.0,167060920.0,10658.5
112.36,1071.35,37.5,36.0,9.1,40.849999999999994,37.15,4221.0,16673.0,31.0,29.0,0.0,2.0,33.5,40.5,9089.0,17.5,46.0,43.0,46.144999999999996,42.0,475.0,167060920.0,10657.0
112.36,1071.4,38.0,36.0,9.05,43.099999999999994,34.5,4221.0,16673.0,31.0,29.0,0.0,2.0,34.0,50.5,9089.0,15.0,46.07,43.0,46.42,42.0,479.0,167060922.0,10657.5
112.36,1072.0500000000002,37.5,36.0,5.45,39.8,35.2,4221.0,16673.0,31.0,29.0,0.0,2.0,34.0,59.5,9089.0,13.0,45.879999999999995,43.0,46.69,42.0,479.0,167060928.0,10658.0
112.36,1087.7,37.0,36.0,11.5,38.599999999999994,35.65,4221.0,16673.0,31.0,29.0,0.0,2.0,34.0,39.0,9089.0,39.0,45.94,43.0,46.43,42.0,455.5,167060932.0,10658.0
112.36,1084.7,37.0,36.0,11.75,42.3,35.15,4221.0,16673.0,31.0,29.0,0.0,2.0,34.0,39.0,9089.0,39.0,46.095,43.0,46.32,42.0,453.0,167060932.0,10657.5
112.36,1080.45,37.0,36.0,11.35,41.45,37.7,4221.0,16673.0,31.0,29.0,0.0,2.0,34.0,38.5,9089.0,23.0,45.93,43.0,46.364999999999995,42.0,463.5,167060936.0,10657.5
112.36,1072.95,37.0,36.0,9.45,39.95,35.5,4221.0,16673.0,31.0,29.0,0.0,2.0,34.5,58.0,9089.0,30.0,46.205,43.0,46.519999999999996,42.0,477.0,167060942.0,10657.5
112.36,1073.35,37.0,36.0,9.2,39.0,37.55,4221.0,16673.0,31.0,29.0,0.0,2.0,34.5,58.5,9089.0,39.0,46.44,43.0,46.63,42.0,480.0,167060938.0,10657.5
112.36,1071.4,36.5,36.5,7.800000000000001,37.900000000000006,38.400000000000006,4221.0,16673.0,31.0,29.0,0.0,2.0,34.0,39.5,9089.0,29.0,46.4,43.0,46.49,42.0,480.0,167060934.0,10657.5
