execute_time,dataset,throughput
65,10000,153.84615384615384
throughput,cpu_ave_fre,cpu1_temp,cpu2_temp,cpu_ave_usage,cpu1_power,cpu2_power,mlu_phy_mem_usage,mlu_vir_mem_usage,mlu_temp,mlu_power,mlu_usage,gpu_pref,gpu_temp,gpu_power,gpu_mem_usage,gpu_usage,fpga2_power,fpga2_temp,fpga1_power,fpga1_temp,power_total,cache_usage,mem_usage
153.846,1171.3,37.0,41.0,16.3,40.1,44.3,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.25,40.0,46.16,38.0,449.0,162050756.0,7092.0
153.846,1352.35,38.0,41.0,29.1,46.45,44.849999999999994,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.3,40.0,45.86,38.0,449.0,162050506.0,7165.5
153.846,1351.9499999999998,38.0,41.0,28.45,45.25,44.75,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.295,40.0,45.695,38.0,453.0,162050504.0,7216.5
153.846,1329.4,39.0,41.0,27.7,47.25,43.35,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.24,40.0,45.83,38.0,457.0,162050504.0,7262.5
153.846,1332.4,40.5,41.0,30.15,48.4,41.85,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.175,40.0,45.655,38.0,458.5,162050510.0,7309.0
153.846,1340.05,41.0,41.0,26.6,49.1,40.4,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.47,40.0,45.7,38.0,461.5,162050516.0,7402.0
153.846,1348.65,41.5,41.0,24.4,49.3,40.65,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.515,40.0,45.935,38.0,463.5,162050518.0,7446.5
153.846,1393.35,42.0,41.0,25.5,47.0,42.349999999999994,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.665000000000006,40.0,46.025000000000006,38.0,464.0,162050520.0,7495.0
153.846,1399.95,42.0,41.0,26.4,47.099999999999994,42.65,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.77,40.0,45.88,38.0,464.0,162050524.0,7543.0
153.846,1354.75,42.0,41.5,27.35,49.7,41.65,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.64,40.0,45.730000000000004,38.0,464.0,162050528.0,7587.0
153.846,1319.45,42.0,41.5,23.450000000000003,48.4,40.150000000000006,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.31,40.0,45.644999999999996,38.0,464.0,162050534.0,7678.0
153.846,1361.2,41.0,41.5,25.9,51.15,41.650000000000006,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.34,40.0,45.69,38.0,464.0,162050538.0,7723.5
153.846,1419.7,40.5,41.5,29.45,50.75,43.150000000000006,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.44,40.0,45.849999999999994,38.0,464.0,162050540.0,7770.5
153.846,1379.85,41.0,41.0,27.2,46.35,40.7,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.405,40.0,45.76,38.0,464.0,162050540.0,7815.5
153.846,1326.65,42.0,41.5,25.4,46.75,43.25,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.290000000000006,40.0,45.655,38.0,463.5,162050544.0,7906.0
153.846,1357.25,42.0,41.0,27.5,46.650000000000006,44.55,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.405,40.0,45.724999999999994,38.0,463.0,162050546.0,7955.5
153.846,1341.9499999999998,41.0,41.5,25.5,48.7,41.400000000000006,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.5,40.0,45.65,38.0,463.0,162050548.0,8000.0
153.846,1334.1,41.0,42.0,24.4,47.45,39.6,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.465,40.0,45.765,38.0,463.0,162050552.0,8043.5
153.846,1306.85,42.0,42.0,26.95,47.150000000000006,38.25,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.455,40.0,45.760000000000005,38.0,463.5,162050556.0,8088.0
153.846,1353.8,41.0,42.0,26.25,47.05,41.8,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.705,40.0,45.665,38.0,464.0,162050564.0,8180.5
153.846,1352.3,42.0,42.0,23.6,48.35,40.85,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.81,40.0,45.555,38.0,463.5,162050564.0,8229.5
153.846,1389.35,42.0,42.0,26.9,49.8,41.650000000000006,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.69,40.0,45.42,38.0,463.0,162050566.0,8276.5
153.846,1354.2,42.0,41.5,25.65,49.8,40.5,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.489999999999995,40.0,45.64,38.0,463.0,162050570.0,8319.5
153.846,1335.05,42.0,41.0,25.7,49.6,40.75,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.519999999999996,40.0,45.685,38.0,463.0,162050572.0,8362.0
153.846,1319.5,41.5,42.0,22.450000000000003,48.95,38.8,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.64,40.0,45.55,38.0,463.0,162050578.0,8450.5
