execute_time,dataset,throughput
33,10000,303.030303030303
throughput,cpu_ave_fre,cpu1_temp,cpu2_temp,cpu_ave_usage,cpu1_power,cpu2_power,mlu_phy_mem_usage,mlu_vir_mem_usage,mlu_temp,mlu_power,mlu_usage,gpu_pref,gpu_temp,gpu_power,gpu_mem_usage,gpu_usage,fpga2_power,fpga2_temp,fpga1_power,fpga1_temp,power_total,cache_usage,mem_usage
0,1141.8,40.0,36.0,11.3,44.6,39.8,4192.0,16643.0,28.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.35,39.0,45.79,38.0,448.0,44712840.0,4046.0
0,1142.9,40.0,36.0,9.6,44.9,37.5,4192.0,16643.0,28.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.35,39.0,45.79,38.0,448.0,44712840.0,4041.0
0,1212.7,40.0,37.0,15.2,47.3,37.8,4192.0,16643.0,28.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.54,39.0,45.79,38.0,448.0,44712840.0,4041.0
0,1141.9,40.0,37.0,10.6,41.2,40.3,4192.0,16643.0,28.0,28.0,0.0,8.0,28.0,24.0,0.0,0.0,45.77,39.0,45.8,38.0,449.0,44712844.0,4044.0
0,1142.5,39.0,36.0,9.5,42.1,37.5,4192.0,16643.0,28.0,28.0,0.0,8.0,28.0,24.0,0.0,0.0,45.77,39.0,45.8,38.0,449.0,44712848.0,4047.0
0,1141.9,41.0,36.0,9.2,45.0,32.0,4192.0,16643.0,28.0,28.0,0.0,8.0,29.0,23.0,0.0,0.0,45.6,39.0,45.89,38.0,450.0,44712852.0,4048.0
0,1213.0,41.0,36.0,14.8,43.5,39.1,4192.0,16643.0,28.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.31,39.0,45.6,38.0,450.0,44712860.0,4046.0
0,1143.0,39.0,36.0,9.4,41.1,39.8,4192.0,16643.0,28.0,28.0,0.0,8.0,28.0,24.0,0.0,0.0,45.31,39.0,45.6,38.0,451.0,44712860.0,4047.0
0,1141.8,39.0,37.0,10.2,43.4,34.6,4192.0,16643.0,28.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.52,39.0,45.6,38.0,451.0,44712864.0,4049.0
0,1142.8,39.0,37.0,9.5,42.0,37.3,4192.0,16643.0,28.0,28.0,0.0,8.0,28.0,24.0,0.0,0.0,45.59,39.0,45.56,38.0,451.0,44712868.0,4048.0
0,1212.9,39.0,36.0,12.0,46.1,34.5,4192.0,16643.0,28.0,28.0,0.0,8.0,28.0,24.0,0.0,0.0,45.59,39.0,45.56,38.0,451.0,44712868.0,4051.0
0,1141.9,41.0,36.0,9.4,46.4,33.2,4192.0,16643.0,28.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.67,39.0,45.93,38.0,450.0,44712868.0,4048.0
0,1142.8,41.0,36.0,11.1,42.8,38.5,4192.0,16643.0,28.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.88,40.0,45.7,38.0,450.0,44712872.0,4049.0
0,1142.5,40.0,36.0,9.6,42.7,38.1,4192.0,16643.0,28.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.88,40.0,45.7,38.0,450.0,44712876.0,4048.0
0,1145.3,40.0,36.0,20.6,45.6,42.3,4192.0,16643.0,28.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.68,39.0,45.43,38.0,450.0,44712880.0,4047.0
0,1142.4,40.0,36.0,10.4,42.9,38.3,4192.0,16643.0,28.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.6,39.0,45.89,38.0,451.0,44712880.0,4047.0
0,1142.5,39.0,36.0,11.1,44.7,37.4,4192.0,16643.0,28.0,28.0,0.0,8.0,28.0,24.0,0.0,0.0,45.6,39.0,45.89,38.0,451.0,44712880.0,4048.0
0,1141.9,39.0,37.0,9.2,41.5,39.7,4192.0,16643.0,28.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.61,39.0,46.04,38.0,451.0,44712884.0,4046.0
0,1172.9,39.0,37.0,14.7,44.2,43.0,4192.0,16643.0,28.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.2,39.0,45.84,38.0,451.0,44712888.0,4046.0
0,1142.6,39.0,36.0,8.5,42.5,34.4,4192.0,16643.0,28.0,28.0,0.0,8.0,28.0,24.0,0.0,0.0,45.2,39.0,45.84,38.0,451.0,44712888.0,4047.0
0,1141.9,39.0,37.0,9.9,41.9,40.3,4192.0,16643.0,28.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.39,39.0,45.54,38.0,451.0,44712896.0,4047.0
