execute_time,dataset,throughput
543,10000,18.41620626151013
throughput,cpu_ave_fre,cpu1_temp,cpu2_temp,cpu_ave_usage,cpu1_power,cpu2_power,mlu_phy_mem_usage,mlu_vir_mem_usage,mlu_temp,mlu_power,mlu_usage,gpu_pref,gpu_temp,gpu_power,gpu_mem_usage,gpu_usage,fpga2_power,fpga2_temp,fpga1_power,fpga1_temp,power_total,cache_usage,mem_usage
18.416,1152.3,44.0,38.0,15.1,47.5,34.7,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.86,42.0,46.0,40.0,451.0,67276896.0,4118.0
18.416,1213.5,44.0,40.5,14.2,41.6,40.05,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.68,42.0,45.86,40.0,451.0,67276908.0,4225.0
18.416,1214.1,44.0,40.0,13.45,41.6,41.6,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.8,42.0,45.75,40.0,453.0,67276908.0,4293.5
18.416,1213.8,44.0,39.0,13.899999999999999,41.75,44.35,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,46.1,42.0,45.78,40.0,456.0,67276912.0,4336.5
18.416,1231.75,44.0,39.0,15.65,41.4,43.45,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,46.1,42.0,45.754999999999995,40.0,457.0,67276918.0,4376.5
18.416,1231.5500000000002,44.0,40.0,14.950000000000001,42.849999999999994,41.849999999999994,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,46.019999999999996,42.0,45.8,40.0,457.0,67276920.0,4414.0
18.416,1213.75,44.0,39.0,13.95,43.5,41.25,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.94,42.0,45.87,40.0,457.5,67276914.0,4454.0
18.416,1213.4499999999998,44.0,39.0,14.75,43.55,41.150000000000006,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.745,42.0,46.015,40.0,458.0,67276918.0,4501.5
18.416,1223.95,44.0,39.5,14.0,39.55,42.85,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.77,42.0,46.05,41.0,458.5,67276928.0,4608.0
18.416,1223.25,42.5,40.0,14.149999999999999,38.3,43.7,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.71,42.0,46.144999999999996,40.5,459.0,67276930.0,4887.5
