execute_time,dataset,throughput
25,10000,400.0
throughput,cpu_ave_fre,cpu1_temp,cpu2_temp,cpu_ave_usage,cpu1_power,cpu2_power,mlu_phy_mem_usage,mlu_vir_mem_usage,mlu_temp,mlu_power,mlu_usage,gpu_pref,gpu_temp,gpu_power,gpu_mem_usage,gpu_usage,fpga2_power,fpga2_temp,fpga1_power,fpga1_temp,power_total,cache_usage,mem_usage
400.0,1281.8,42.0,38.0,16.1,47.1,37.9,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.73,41.0,45.83,40.0,450.0,44713860.0,3842.0
400.0,1213.25,42.0,38.5,13.3,42.95,42.3,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,46.0,41.0,45.84,40.0,450.0,44750516.0,3946.5
400.0,1183.65,43.0,38.0,12.149999999999999,42.150000000000006,41.25,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,46.095,41.0,45.870000000000005,40.0,467.0,44750430.0,4282.0
400.0,1184.25,43.0,38.0,12.6,41.5,40.4,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.92,41.0,45.89,40.0,484.5,44750440.0,4930.5
400.0,1245.1,43.0,38.5,18.3,42.0,40.95,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.72,41.0,45.92,40.0,485.0,44750446.0,5478.0
400.0,2250.2,43.0,40.0,87.1,68.15,60.8,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.39,41.0,59.66,40.0,471.5,44750506.0,4580.5
400.0,2398.1000000000004,43.0,41.0,94.35,68.4,63.15,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.53,41.0,58.485,40.0,458.0,44750510.0,4597.0
400.0,2413.15,43.0,41.0,93.2,64.75,62.65,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.69,41.0,57.235,40.0,458.0,44750512.0,4604.0
400.0,2459.95,44.0,41.5,94.4,65.55,64.65,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.71,41.0,57.16,40.0,487.0,44750514.0,4609.5
400.0,2480.75,44.5,42.5,94.2,64.25,65.0,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.635000000000005,41.0,60.705,40.5,516.0,44750516.0,4621.0
400.0,2406.25,43.5,42.5,93.95,69.30000000000001,64.95,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.89,41.0,70.88,41.0,531.0,44750526.0,4650.0
400.0,2389.3999999999996,43.5,42.5,94.1,68.80000000000001,65.35,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.86,41.0,70.88499999999999,41.0,530.5,44750524.0,4651.0
400.0,2416.1499999999996,44.0,43.0,94.55,66.9,66.5,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,46.065,41.0,67.485,41.0,530.0,44750528.0,4650.5
400.0,2461.8999999999996,44.0,42.5,93.55,68.15,64.3,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,46.3,41.0,64.08,41.0,530.0,44750532.0,4651.5
400.0,2451.75,44.0,42.5,94.65,63.800000000000004,64.1,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,46.34,41.0,70.13499999999999,41.0,530.0,44750534.0,4656.0
400.0,2443.2,44.5,43.0,94.0,62.75,64.75,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,46.07,41.0,67.89,41.0,531.0,44750540.0,4661.0
400.0,2459.6,45.0,43.0,94.05,63.05,63.900000000000006,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,46.28,41.0,73.785,41.0,531.0,44750544.0,4664.5
400.0,2445.05,45.0,43.0,95.0,63.6,65.25,4192.0,16643.0,29.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,46.275000000000006,41.0,74.165,41.0,531.5,44750546.0,4665.0
