execute_time,dataset,throughput
148,10000,67.56756756756756
throughput,cpu_ave_fre,cpu1_temp,cpu2_temp,cpu_ave_usage,cpu1_power,cpu2_power,mlu_phy_mem_usage,mlu_vir_mem_usage,mlu_temp,mlu_power,mlu_usage,gpu_pref,gpu_temp,gpu_power,gpu_mem_usage,gpu_usage,fpga2_power,fpga2_temp,fpga1_power,fpga1_temp,power_total,cache_usage,mem_usage
67.568,1158.3,45.0,39.0,22.4,50.0,33.7,4192.0,16643.0,30.0,28.0,0.0,8.0,35.0,25.0,0.0,0.0,45.72,42.0,45.85,40.0,451.0,66971756.0,4118.0
67.568,1213.2,44.0,39.0,13.05,42.7,41.8,4192.0,16643.0,30.0,28.0,0.0,8.0,35.0,25.0,6.0,0.0,45.83,42.0,46.04,40.0,466.0,66971760.0,4283.5
67.568,1213.0,44.0,39.0,13.0,43.8,42.85,4192.0,16643.0,30.0,28.0,0.0,5.0,35.0,29.5,290.5,2.5,46.075,42.0,46.06,40.0,473.5,66975858.0,4624.5
67.568,1213.15,44.0,39.0,13.15,43.3,42.55,4192.0,16643.0,30.0,28.0,0.0,2.0,35.0,34.0,585.0,2.5,46.21,42.0,45.89,40.0,481.0,66980980.0,4895.0
67.568,1212.95,44.0,39.0,12.65,42.25,41.45,4192.0,16643.0,30.0,28.0,0.0,2.0,35.0,34.0,601.0,0.0,46.04,42.0,45.995000000000005,40.0,477.0,66982010.0,4955.5
67.568,1213.25,44.0,39.0,12.65,42.4,41.3,4192.0,16643.0,30.0,28.0,0.0,2.0,35.0,34.0,601.0,0.0,45.86,42.0,46.06,40.0,469.0,66982016.0,4994.0
67.568,1214.4499999999998,44.0,40.0,13.2,41.05,41.1,4192.0,16643.0,30.0,28.0,0.0,2.0,35.0,34.0,601.0,0.0,45.93,42.0,45.875,40.0,466.0,66982018.0,5068.5
67.568,1214.25,44.0,41.0,12.9,41.3,39.9,4192.0,16643.0,30.0,28.0,0.0,2.0,35.0,34.0,601.0,0.0,45.879999999999995,42.0,45.735,40.0,467.0,66982020.0,5109.5
67.568,1213.65,44.0,41.0,12.8,41.7,41.45,4192.0,16643.0,30.0,28.0,0.0,2.0,35.0,34.0,602.0,0.5,45.75,42.0,45.74,40.0,468.5,66982022.0,5149.5
67.568,1213.25,44.0,41.0,12.55,43.3,39.650000000000006,4192.0,16643.0,30.0,28.0,0.0,2.0,35.0,34.5,637.0,0.5,45.64,42.0,45.78,40.0,470.0,66982024.0,5223.5
