execute_time,dataset,throughput
123,10000,81.30081300813008
throughput,cpu_ave_fre,cpu1_temp,cpu2_temp,cpu_ave_usage,cpu1_power,cpu2_power,mlu_phy_mem_usage,mlu_vir_mem_usage,mlu_temp,mlu_power,mlu_usage,gpu_pref,gpu_temp,gpu_power,gpu_mem_usage,gpu_usage,fpga2_power,fpga2_temp,fpga1_power,fpga1_temp,power_total,cache_usage,mem_usage
81.301,1207.9,44.0,38.0,14.5,47.4,34.3,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.77,42.0,45.86,40.0,450.0,41659828.0,4221.0
81.301,1376.8,44.0,38.5,30.9,46.45,45.55,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.94,42.0,46.03,40.0,450.0,41659834.0,4300.0
81.301,1387.15,44.0,39.0,29.6,47.55,44.849999999999994,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,46.075,42.0,46.035,40.0,450.0,41659836.0,4353.0
81.301,1399.3,44.5,39.0,28.75,47.15,44.4,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,46.04,42.0,45.87,40.0,452.5,41659836.0,4407.0
81.301,1391.4499999999998,44.5,39.5,30.15,47.3,41.3,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,46.155,42.0,46.015,40.0,458.5,41659840.0,4461.5
81.301,1411.05,44.0,39.5,32.15,50.15,42.95,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.38,42.0,45.88,40.0,462.5,41659846.0,4567.5
81.301,1405.35,44.5,39.5,32.95,50.25,43.15,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.519999999999996,42.0,45.95,40.0,464.0,41659848.0,4619.5
81.301,1405.25,45.0,40.0,35.25,45.0,47.35,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.815,42.0,45.91,40.5,465.0,41659850.0,4669.0
81.301,1415.0500000000002,45.0,39.0,32.6,45.3,47.8,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.97,42.0,45.8,41.0,465.0,41659852.0,4721.0
81.301,1379.5,45.0,40.0,27.7,45.9,44.599999999999994,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,46.04,42.0,45.625,40.0,464.0,41659860.0,4817.5
81.301,1361.3,44.5,39.0,27.1,45.2,45.349999999999994,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,46.01,42.0,45.6,40.0,464.0,41659864.0,4868.0
81.301,1364.75,44.5,39.0,26.5,44.5,45.75,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.775,42.0,45.879999999999995,40.0,464.0,41659866.0,4919.5
81.301,1372.1,45.0,40.0,26.299999999999997,44.5,45.2,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.735,42.0,46.025,40.0,464.0,41659870.0,4970.0
81.301,1368.85,44.5,39.5,29.55,44.6,45.9,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.8,42.0,45.875,40.0,465.0,41659872.0,5071.0
81.301,1386.7,44.0,40.0,30.450000000000003,46.4,44.25,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.870000000000005,42.0,45.96,40.0,465.0,41659874.0,5120.5
81.301,1408.2,44.5,40.0,29.75,50.4,39.05,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,46.07,42.0,46.06,40.0,465.0,41659878.0,5169.0
81.301,1397.5500000000002,45.0,40.0,28.65,50.25,41.05,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,46.045,42.0,46.09,40.0,465.0,41659882.0,5223.0
81.301,1428.15,45.0,40.0,30.95,46.75,45.0,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,46.44,42.0,46.36,40.0,465.0,41659884.0,5328.5
81.301,1418.75,45.0,39.5,30.25,46.5,43.85,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,46.285,42.0,46.06,40.5,465.5,41659886.0,5378.0
81.301,1400.1,45.0,39.0,33.35,49.75,43.5,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.95,42.0,45.89,40.5,466.0,41659890.0,5429.5
81.301,1404.45,45.0,39.0,33.5,49.9,45.85,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.77,42.0,46.02,40.0,466.0,41659894.0,5479.5
81.301,1388.85,45.0,39.0,30.5,49.1,43.85,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.765,42.0,45.985,40.5,466.0,41659896.0,5528.5
81.301,1360.5,45.0,40.0,28.5,45.05,45.0,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.83,42.0,45.97,40.0,466.0,41659902.0,5627.5
81.301,1388.0500000000002,45.0,41.0,31.5,46.15,45.7,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.92,42.0,46.045,40.0,466.0,41659906.0,5679.0
81.301,1405.0500000000002,45.0,41.0,29.9,46.65,46.0,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.8,42.0,46.004999999999995,40.0,466.0,41659908.0,5730.5
81.301,1387.8000000000002,45.0,41.0,26.7,48.2,43.5,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.59,42.0,45.89,40.0,466.0,41659908.0,5782.5
81.301,1446.4499999999998,45.0,41.0,33.400000000000006,46.4,45.75,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,46.055,42.0,46.040000000000006,40.5,465.0,41659916.0,5884.0
81.301,1407.5,45.0,40.5,31.650000000000002,47.45,44.3,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,46.33,42.0,46.09,41.0,465.0,41659920.0,5934.0
81.301,1436.25,45.0,40.5,32.3,47.5,44.0,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,46.165,42.0,46.040000000000006,40.5,465.0,41659918.0,5984.0
81.301,1409.25,45.0,41.0,28.65,46.05,45.900000000000006,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.9,42.0,46.115,40.0,465.0,41659918.0,6035.0
81.301,1381.85,45.0,41.5,28.700000000000003,45.5,44.45,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.775,42.0,46.13,40.0,465.5,41659928.0,6137.5
81.301,1371.55,45.0,42.0,28.9,48.150000000000006,42.7,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,45.92,42.0,45.905,40.5,466.0,41659932.0,6189.0
81.301,1377.9499999999998,45.0,41.0,28.75,48.1,44.3,4192.0,16643.0,30.0,28.0,0.0,8.0,31.0,24.0,0.0,0.0,46.09,42.0,45.79,41.0,466.5,41659932.0,6241.0
