id,submit_time,task_type
0,18,resnet50
1,25,resnet50
2,41,resnet50
3,44,resnet50
4,63,resnet50
5,66,resnet50
6,113,resnet50
7,122,resnet50
8,144,resnet50
9,147,resnet50
10,154,resnet50
11,162,resnet50
12,185,resnet50
13,188,resnet50
14,188,resnet50
15,192,resnet50
16,200,resnet50
17,204,resnet50
18,211,resnet50
19,233,resnet50
20,256,resnet50
21,257,resnet50
22,268,resnet50
23,270,resnet50
24,271,resnet50
25,272,resnet50
26,289,resnet50
27,290,resnet50
28,305,resnet50
29,320,resnet50
30,367,resnet50
31,373,resnet50
32,377,resnet50
33,380,resnet50
34,382,resnet50
35,382,resnet50
36,397,resnet50
37,415,resnet50
38,434,resnet50
39,435,resnet50
40,460,resnet50
41,471,resnet50
42,485,resnet50
43,497,resnet50
44,500,resnet50
45,502,resnet50
46,502,resnet50
47,522,resnet50
48,558,resnet50
49,588,resnet50
50,597,resnet50
51,598,resnet50
52,609,resnet50
53,625,resnet50
54,630,resnet50
55,632,resnet50
56,643,resnet50
57,645,resnet50
58,658,resnet50
59,682,resnet50
60,694,resnet50
61,713,resnet50
62,717,resnet50
63,725,resnet50
64,738,resnet50
65,740,resnet50
66,741,resnet50
67,750,resnet50
68,768,resnet50
69,813,resnet50
70,835,resnet50
71,846,resnet50
72,854,resnet50
73,880,resnet50
74,897,resnet50
75,905,resnet50
76,913,resnet50
77,914,resnet50
78,916,resnet50
79,920,resnet50
80,925,resnet50
81,972,resnet50
82,1019,resnet50
83,1026,resnet50
84,1026,resnet50
85,1032,resnet50
86,1038,resnet50
87,1054,resnet50
88,1063,resnet50
89,1079,resnet50
90,1084,resnet50
91,1086,resnet50
92,1094,resnet50
93,1111,resnet50
94,1122,resnet50
95,1133,resnet50
96,1136,resnet50
97,1137,resnet50
98,1140,resnet50
99,1146,resnet50
100,1159,resnet50
101,1164,resnet50
102,1169,resnet50
103,1169,resnet50
104,1182,resnet50
105,1194,resnet50
106,1205,resnet50
107,1211,resnet50
108,1221,resnet50
109,1233,resnet50
110,1241,resnet50
111,1247,resnet50
112,1249,resnet50
113,1253,resnet50
114,1255,resnet50
115,1258,resnet50
116,1261,resnet50
117,1285,resnet50
118,1299,resnet50
119,1304,resnet50
120,1311,resnet50
121,1319,resnet50
122,1331,resnet50
123,1337,resnet50
124,1339,resnet50
125,1347,resnet50
126,1361,resnet50
127,1362,resnet50
128,1366,resnet50
129,1369,resnet50
130,1374,resnet50
131,1375,resnet50
132,1380,resnet50
133,1401,resnet50
134,1407,resnet50
135,1409,resnet50
136,1413,resnet50
137,1416,resnet50
138,1467,resnet50
139,1479,resnet50
140,1480,resnet50
141,1495,resnet50
142,1501,resnet50
143,1506,resnet50
144,1515,resnet50
145,1527,resnet50
146,1529,resnet50
147,1530,resnet50
148,1540,resnet50
149,1571,resnet50
150,1572,resnet50
151,1574,resnet50
152,1589,resnet50
153,1594,resnet50
154,1604,resnet50
155,1651,resnet50
156,1664,resnet50
157,1664,resnet50
158,1669,resnet50
159,1681,resnet50
160,1687,resnet50
161,1692,resnet50
162,1694,resnet50
163,1725,resnet50
164,1731,resnet50
165,1755,resnet50
166,1770,resnet50
167,1776,resnet50
168,1782,resnet50
169,1783,resnet50
170,1785,resnet50
171,1797,resnet50
172,1817,resnet50
173,1849,resnet50
174,1850,resnet50
175,1855,resnet50
176,1860,resnet50
177,1862,resnet50
178,1863,resnet50
179,1870,resnet50
180,1880,resnet50
181,1916,resnet50
182,1928,resnet50
183,1942,resnet50
184,1950,resnet50
185,1955,resnet50
186,1966,resnet50
187,1978,resnet50
188,1982,resnet50
189,1989,resnet50
190,1999,resnet50
191,2000,resnet50
192,2004,resnet50
193,2025,resnet50
194,2038,resnet50
195,2058,resnet50
196,2061,resnet50
197,2064,resnet50
198,2070,resnet50
199,2070,resnet50
200,2086,resnet50
201,2087,resnet50
202,2090,resnet50
203,2100,resnet50
204,2110,resnet50
205,2112,resnet50
206,2117,resnet50
207,2125,resnet50
208,2127,resnet50
209,2138,resnet50
210,2144,resnet50
211,2145,resnet50
212,2161,resnet50
213,2162,resnet50
214,2194,resnet50
215,2202,resnet50
216,2211,resnet50
217,2218,resnet50
218,2221,resnet50
219,2227,resnet50
220,2240,resnet50
221,2252,resnet50
222,2254,resnet50
223,2271,resnet50
224,2271,resnet50
225,2279,resnet50
226,2285,resnet50
227,2286,resnet50
228,2293,resnet50
229,2310,resnet50
230,2310,resnet50
231,2311,resnet50
232,2313,resnet50
233,2316,resnet50
234,2319,resnet50
235,2339,resnet50
236,2346,resnet50
237,2357,resnet50
238,2369,resnet50
239,2377,resnet50
240,2387,resnet50
241,2389,resnet50
242,2397,resnet50
243,2398,resnet50
244,2448,resnet50
245,2459,resnet50
246,2463,resnet50
247,2488,resnet50
248,2503,resnet50
249,2507,resnet50
250,2510,resnet50
251,2513,resnet50
252,2521,resnet50
253,2532,resnet50
254,2533,resnet50
255,2538,resnet50
256,2555,resnet50
257,2568,resnet50
258,2573,resnet50
259,2587,resnet50
260,2595,resnet50
261,2603,resnet50
262,2618,resnet50
263,2632,resnet50
264,2636,resnet50
265,2672,resnet50
266,2688,resnet50
267,2690,resnet50
268,2692,resnet50
269,2707,resnet50
270,2718,resnet50
271,2726,resnet50
272,2744,resnet50
273,2757,resnet50
274,2764,resnet50
275,2770,resnet50
276,2772,resnet50
277,2773,resnet50
278,2784,resnet50
279,2802,resnet50
280,2811,resnet50
281,2823,resnet50
282,2853,resnet50
283,2863,resnet50
284,2874,resnet50
285,2898,resnet50
286,2915,resnet50
287,2937,resnet50
288,2949,resnet50
289,2971,resnet50
290,2974,resnet50
291,2974,resnet50
292,2981,resnet50
293,2990,resnet50
294,2993,resnet50
295,2999,resnet50
296,3007,resnet50
297,3017,resnet50
298,3041,resnet50
299,3046,resnet50
300,3063,resnet50
301,3066,resnet50
302,3090,resnet50
303,3091,resnet50
304,3104,resnet50
305,3114,resnet50
306,3118,resnet50
307,3119,resnet50
308,3125,resnet50
309,3125,resnet50
310,3149,resnet50
311,3150,resnet50
312,3160,resnet50
313,3166,resnet50
314,3179,resnet50
315,3182,resnet50
316,3185,resnet50
