id,submit_time,task_type
0,18,vgg19
1,25,vgg16
2,41,vgg19
3,44,resnet50
4,63,resnet50
5,66,vgg16
6,113,vgg16
7,122,vgg19
8,144,resnet50
9,147,vgg19
10,154,vgg16
11,162,vgg16
12,185,resnet50
13,188,vgg19
14,188,vgg19
15,192,vgg16
16,200,vgg19
17,204,resnet50
18,211,vgg16
19,233,vgg19
20,256,vgg16
21,257,vgg16
22,268,vgg19
23,270,vgg16
24,271,resnet50
25,272,vgg16
26,289,vgg19
27,290,vgg16
28,305,vgg16
29,320,vgg16
30,367,vgg16
31,373,vgg19
32,377,resnet50
33,380,vgg16
34,382,vgg19
35,382,vgg16
36,397,vgg16
37,415,vgg16
38,434,resnet50
39,435,vgg19
40,460,resnet50
41,471,resnet50
42,485,resnet50
43,497,vgg16
44,500,vgg16
45,502,vgg16
46,502,resnet50
47,522,vgg19
48,558,vgg16
49,588,resnet50
50,597,vgg16
51,598,vgg19
52,609,vgg16
53,625,resnet50
54,630,resnet50
55,632,vgg19
56,643,resnet50
57,645,vgg16
58,658,vgg16
59,682,resnet50
60,694,resnet50
61,713,resnet50
62,717,vgg19
63,725,vgg19
64,738,vgg16
65,740,vgg16
66,741,vgg16
67,750,resnet50
68,768,resnet50
69,813,resnet50
70,835,vgg16
71,846,vgg16
72,854,vgg16
73,880,vgg16
74,897,vgg19
75,905,vgg16
76,913,resnet50
77,914,vgg19
78,916,vgg19
79,920,vgg16
80,925,resnet50
81,972,vgg16
82,1019,vgg19
83,1026,resnet50
84,1026,vgg19
85,1032,vgg16
86,1038,vgg19
87,1054,resnet50
88,1063,vgg19
89,1079,vgg19
90,1084,vgg16
91,1086,vgg19
92,1094,vgg16
93,1111,resnet50
94,1122,vgg19
95,1133,vgg16
96,1136,vgg19
97,1137,vgg19
98,1140,vgg19
99,1146,resnet50
100,1159,resnet50
101,1164,vgg19
102,1169,vgg19
103,1169,resnet50
104,1182,vgg19
105,1194,vgg19
106,1205,resnet50
107,1211,resnet50
108,1221,vgg16
109,1233,vgg16
110,1241,resnet50
111,1247,vgg16
112,1249,resnet50
113,1253,vgg19
114,1255,resnet50
115,1258,vgg19
116,1261,resnet50
117,1285,resnet50
118,1299,vgg19
119,1304,vgg16
120,1311,vgg19
121,1319,resnet50
122,1331,vgg19
123,1337,resnet50
124,1339,vgg19
125,1347,resnet50
126,1361,resnet50
127,1362,vgg19
128,1366,vgg16
129,1369,vgg16
130,1374,resnet50
131,1375,vgg16
132,1380,vgg19
133,1401,resnet50
134,1407,vgg19
135,1409,vgg19
136,1413,resnet50
137,1416,vgg16
138,1467,vgg19
139,1479,resnet50
140,1480,vgg16
141,1495,vgg19
142,1501,vgg19
143,1506,vgg19
144,1515,vgg16
145,1527,vgg16
146,1529,vgg19
147,1530,resnet50
148,1540,vgg16
149,1571,resnet50
150,1572,vgg16
151,1574,vgg16
152,1589,vgg16
153,1594,vgg19
154,1604,vgg16
155,1651,vgg16
156,1664,vgg16
157,1664,resnet50
158,1669,resnet50
159,1681,vgg16
160,1687,vgg19
161,1692,vgg16
162,1694,vgg16
163,1725,vgg16
164,1731,vgg16
165,1755,vgg19
166,1770,vgg16
167,1776,vgg19
168,1782,resnet50
169,1783,vgg19
170,1785,resnet50
171,1797,vgg16
172,1817,vgg16
173,1849,resnet50
174,1850,vgg19
175,1855,resnet50
176,1860,vgg16
177,1862,resnet50
178,1863,vgg19
179,1870,vgg19
