execute_time,dataset,throughput
1367,10000,7.315288953913679
throughput,cpu_ave_fre,cpu1_temp,cpu2_temp,cpu_ave_usage,cpu1_power,cpu2_power,mlu_phy_mem_usage,mlu_vir_mem_usage,mlu_temp,mlu_power,mlu_usage,gpu_pref,gpu_temp,gpu_power,gpu_mem_usage,gpu_usage,fpga2_power,fpga2_temp,fpga1_power,fpga1_temp,power_total,cache_usage,mem_usage
7.315,1205.9,42.0,47.0,28.8,42.1,43.4,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.14,45.0,46.34,44.0,454.0,134004620.0,7762.0
7.315,1212.75,46.0,47.0,14.899999999999999,47.6,38.9,4221.0,16673.0,33.0,29.0,0.0,8.0,33.5,24.0,0.0,0.0,45.985,45.0,46.480000000000004,43.5,454.0,134004624.0,7843.0
7.315,1212.75,46.0,47.0,17.549999999999997,48.7,38.2,4221.0,16673.0,33.0,29.0,0.0,8.0,33.5,24.0,0.0,0.0,46.04,45.0,46.715,43.5,456.5,134004626.0,7880.5
7.315,1248.0,46.0,47.0,18.6,47.599999999999994,37.35,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.25,45.0,46.81,44.0,460.5,134046534.0,7940.0
7.315,1212.25,45.5,47.0,13.5,42.75,37.45,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.295,45.0,46.67,43.5,462.0,134184318.0,8081.5
7.315,1142.4499999999998,45.0,47.0,10.6,41.0,38.05,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.245000000000005,45.0,46.3,43.0,462.0,134372022.0,8265.0
7.315,1214.55,42.0,47.0,23.0,44.1,42.4,4221.0,16673.0,33.0,29.0,0.0,8.0,33.5,24.0,0.0,0.0,46.165,45.0,46.269999999999996,43.0,462.0,134504504.0,8676.5
7.315,1215.4,42.0,47.0,13.4,42.05,41.15,4221.0,16673.0,33.0,29.0,0.0,8.0,33.0,24.0,0.0,0.0,46.254999999999995,45.0,46.525,43.0,462.0,134545160.0,8956.5
7.315,1213.85,43.0,47.0,13.3,46.45,39.599999999999994,4221.0,16673.0,33.0,29.0,0.0,8.0,33.5,24.0,0.0,0.0,46.33,45.0,46.58,43.0,462.5,134545172.0,9045.5
7.315,1213.0,44.0,47.0,13.3,45.9,36.05,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.29,45.0,46.730000000000004,43.0,463.0,134545170.0,8872.5
7.315,1212.7,44.0,47.0,13.45,44.4,36.7,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.165,45.0,46.725,43.5,463.0,134815410.0,8874.0
7.315,1212.9499999999998,45.5,47.0,14.5,48.05,37.45,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.175,45.0,46.435,44.0,463.0,135085636.0,9994.5
7.315,1212.9499999999998,45.0,47.0,15.2,47.05,37.95,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.21,45.0,46.345,43.5,463.0,135085642.0,9792.0
7.315,1213.35,44.0,46.5,15.149999999999999,47.8,36.95,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.15,45.0,46.39,43.0,463.0,135085644.0,9277.5
7.315,1213.0500000000002,43.5,46.5,13.5,48.15,36.15,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.185,45.0,46.405,43.5,463.0,135085646.0,9284.0
7.315,1206.9,44.0,47.0,15.850000000000001,47.25,37.7,4221.0,16673.0,33.0,29.0,0.0,8.0,33.5,24.0,0.0,0.0,46.43,45.0,46.575,43.5,463.0,135085656.0,9291.5
7.315,1248.8,44.0,47.0,23.1,45.099999999999994,38.25,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.65,45.0,46.709999999999994,43.5,463.0,135085774.0,9408.0
7.315,1305.05,44.0,47.0,33.15,46.65,46.7,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.44499999999999,45.0,46.7,43.5,463.5,135085874.0,9671.5
7.315,1260.65,43.5,47.0,32.55,48.2,50.8,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.23,45.0,46.71,43.0,464.0,135085876.0,9760.5
7.315,1356.9,43.0,47.5,35.55,48.25,44.8,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.205,45.0,46.78,43.5,464.0,135085884.0,9808.0
7.315,1510.65,43.0,48.0,53.849999999999994,48.6,53.650000000000006,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.230000000000004,45.0,46.71,43.5,464.0,135085888.0,9828.5
7.315,1238.75,43.5,48.0,34.85,46.35,51.599999999999994,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.24,45.0,46.370000000000005,43.0,469.5,135085888.0,9859.5
7.315,1199.1,44.0,48.0,26.4,44.3,47.599999999999994,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.345,45.0,46.38,43.0,470.0,135085888.0,9890.5
7.315,1251.15,43.5,48.0,28.0,45.35,43.4,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.49,45.0,46.59,43.0,479.5,135085892.0,9906.0
7.315,1406.8000000000002,43.0,48.0,32.4,45.6,42.0,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.425,45.0,46.6,43.0,489.0,135085898.0,9903.5
7.315,1416.2,43.0,48.0,41.55,46.9,49.2,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.17,45.0,46.535,43.5,496.0,135085902.0,9893.0
7.315,1254.15,43.0,48.0,37.95,45.099999999999994,55.0,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,45.98,45.0,46.46,44.0,503.0,135085904.0,9910.0
7.315,1307.95,43.0,48.0,36.95,46.8,54.25,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.39,45.0,46.56999999999999,43.0,484.0,135085912.0,9980.5
7.315,1316.9,43.5,48.0,45.2,51.1,53.45,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.55,45.0,46.66,43.0,476.0,135085912.0,9988.5
7.315,1330.4,45.0,48.0,44.65,49.1,51.8,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.394999999999996,45.0,46.635,43.0,475.5,135085914.0,9993.0
7.315,1486.9,46.0,48.0,50.45,45.900000000000006,50.45,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.230000000000004,45.0,46.465,43.0,475.0,135085916.0,9988.5
7.315,1468.6,44.5,48.0,49.25,47.35,50.8,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.22,45.0,46.32,43.0,475.0,135085920.0,9954.5
7.315,1431.8,44.0,48.0,54.05,47.3,62.45,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.245000000000005,45.0,46.74,43.0,474.5,135085926.0,9950.0
7.315,1376.55,44.0,48.0,35.45,47.0,50.349999999999994,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.24,45.0,46.77,43.0,473.5,135085928.0,9949.5
7.315,1260.75,44.5,48.0,22.25,45.7,42.7,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.32,45.0,46.72,43.0,473.0,135085926.0,9994.5
7.315,1328.5,45.0,48.0,24.700000000000003,43.55,43.2,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.31,45.0,46.585,43.0,473.0,135085930.0,10025.5
7.315,1506.8,44.0,48.0,40.25,42.45,52.95,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.22,45.0,46.5,43.0,475.0,135085936.0,10030.0
7.315,1253.0500000000002,45.0,49.0,30.599999999999998,47.0,44.15,4221.0,16673.0,33.0,29.0,0.0,8.0,33.5,24.0,0.0,0.0,46.465,45.0,46.475,43.5,483.0,135085942.0,10050.5
7.315,1358.85,44.0,48.5,43.75,47.400000000000006,45.8,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.33,45.0,46.25,43.0,481.5,135085946.0,10028.5
7.315,1499.9,44.0,48.5,53.2,49.25,47.400000000000006,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.21,45.0,46.519999999999996,43.0,477.5,135085948.0,9994.5
7.315,1375.6,45.0,49.0,49.2,47.25,56.55,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.105000000000004,45.0,46.76,43.0,475.0,135085948.0,10015.5
7.315,1349.35,44.5,48.5,36.3,44.6,51.4,4221.0,16673.0,33.0,29.0,0.0,8.0,34.0,24.0,0.0,0.0,46.12,45.0,46.73,43.0,475.0,135085950.0,10038.0
