execute_time,dataset,throughput
95,10000,105.26315789473684
throughput,cpu_ave_fre,cpu1_temp,cpu2_temp,cpu_ave_usage,cpu1_power,cpu2_power,mlu_phy_mem_usage,mlu_vir_mem_usage,mlu_temp,mlu_power,mlu_usage,gpu_pref,gpu_temp,gpu_power,gpu_mem_usage,gpu_usage,fpga2_power,fpga2_temp,fpga1_power,fpga1_temp,power_total,cache_usage,mem_usage
105.263,1211.7,39.0,46.0,15.9,40.3,41.6,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.71,41.0,46.58,44.0,452.0,165090616.0,6936.0
105.263,1208.35,41.0,46.0,12.5,45.8,38.2,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.83,41.0,46.545,44.0,452.0,165127198.0,7029.5
105.263,1212.9,41.0,46.0,13.2,47.55,37.650000000000006,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.895,41.0,46.754999999999995,44.0,452.0,165132874.0,7240.5
105.263,1179.4,40.5,46.0,11.5,44.05,36.650000000000006,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.84,41.0,46.765,44.0,457.5,165205382.0,7535.5
105.263,1179.25,41.0,45.5,11.5,44.6,38.400000000000006,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.905,41.0,46.53,44.0,464.5,165325778.0,7658.0
105.263,1171.6,40.5,45.5,13.4,43.95,37.3,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.62,41.0,46.565,44.0,464.0,165542924.0,7916.0
105.263,1136.05,40.5,45.5,12.600000000000001,42.650000000000006,38.0,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.79,41.0,46.455,44.0,462.0,165636178.0,7995.0
105.263,1177.9,42.0,45.0,11.15,42.8,39.8,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.650000000000006,41.0,46.22,44.0,460.5,165674850.0,8067.5
105.263,1211.25,40.5,45.5,13.25,41.2,42.5,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.34,41.0,46.465,44.0,459.0,165674888.0,8127.5
105.263,1210.6999999999998,39.0,45.0,14.45,41.75,41.099999999999994,4221.0,16673.0,30.0,28.0,0.0,8.0,30.0,24.0,0.0,0.0,45.465,41.0,46.620000000000005,44.0,459.0,165674888.0,8155.5
