execute_time,dataset,throughput
153,10000,65.359477124183
throughput,cpu_ave_fre,cpu1_temp,cpu2_temp,cpu_ave_usage,cpu1_power,cpu2_power,mlu_phy_mem_usage,mlu_vir_mem_usage,mlu_temp,mlu_power,mlu_usage,gpu_pref,gpu_temp,gpu_power,gpu_mem_usage,gpu_usage,fpga2_power,fpga2_temp,fpga1_power,fpga1_temp,power_total,cache_usage,mem_usage
65.359,1306.6,44.0,46.0,28.3,46.6,41.9,4221.0,16673.0,35.0,29.0,0.0,8.0,41.0,26.0,0.0,0.0,46.93,48.0,47.05,46.0,458.0,129865644.0,7640.0
65.359,1213.05,46.5,46.5,21.2,46.0,39.099999999999994,4221.0,16673.0,35.0,29.0,0.0,8.0,41.0,26.0,0.0,0.0,46.875,47.5,46.894999999999996,46.0,458.0,129865644.0,7719.0
65.359,1212.8,46.0,47.0,21.75,44.9,39.599999999999994,4221.0,16673.0,35.0,29.0,0.0,8.0,40.5,26.0,0.0,0.0,46.78,47.0,46.86,46.0,458.0,129912818.0,7803.0
65.359,1177.5,45.5,46.5,12.4,43.9,39.599999999999994,4221.0,16673.0,35.0,29.0,0.0,8.0,40.0,26.0,0.0,0.0,46.74,47.0,46.98,46.0,460.0,130045556.0,7943.5
65.359,1141.95,45.5,46.0,11.2,41.25,39.349999999999994,4221.0,16673.0,35.0,29.0,0.0,8.0,40.0,26.0,0.0,0.0,46.775000000000006,47.0,47.15,46.0,463.5,130225588.0,8118.5
65.359,1143.3,45.5,46.0,11.8,43.0,38.5,4221.0,16673.0,35.0,29.0,0.0,8.0,40.0,26.0,0.0,0.0,46.83,47.0,46.9,46.0,465.0,130598328.0,8483.5
65.359,1142.6,46.0,46.0,11.3,43.0,38.25,4221.0,16673.0,35.0,29.0,0.0,8.0,40.0,26.0,0.0,0.0,46.68,47.0,47.04,46.0,465.0,130784050.0,8665.5
65.359,1142.25,47.0,46.0,11.25,44.5,36.5,4221.0,16673.0,35.0,29.0,0.0,8.0,40.0,25.5,0.0,0.0,46.585,47.0,47.004999999999995,46.0,465.0,130911984.0,9018.0
65.359,1178.55,46.0,46.0,12.600000000000001,44.95,38.35,4221.0,16673.0,35.0,29.0,0.0,8.0,40.0,25.5,0.0,0.0,46.64,47.0,46.83,46.0,465.0,130946608.0,9269.5
65.359,1213.55,45.5,46.0,13.350000000000001,42.7,40.15,4221.0,16673.0,35.0,29.0,0.0,8.0,40.0,25.5,0.0,0.0,46.875,47.0,46.765,46.0,465.0,130946608.0,9328.0
