execute_time,dataset,throughput
151,10000,66.2251655629139
throughput,cpu_ave_fre,cpu1_temp,cpu2_temp,cpu_ave_usage,cpu1_power,cpu2_power,mlu_phy_mem_usage,mlu_vir_mem_usage,mlu_temp,mlu_power,mlu_usage,gpu_pref,gpu_temp,gpu_power,gpu_mem_usage,gpu_usage,fpga2_power,fpga2_temp,fpga1_power,fpga1_temp,power_total,cache_usage,mem_usage
66.225,1161.5,37.0,39.0,18.1,38.8,40.9,4221.0,16673.0,30.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.61,40.0,45.88,38.0,449.0,161958448.0,7409.0
66.225,1379.1,40.0,39.0,27.35,47.15,44.05,4221.0,16673.0,30.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.644999999999996,40.0,45.755,38.0,450.0,161958454.0,7559.5
66.225,1358.3,41.0,39.0,28.35,47.3,43.8,4221.0,16673.0,30.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.69,39.5,45.595,38.0,453.0,161958456.0,7606.0
66.225,1367.9,41.0,39.0,27.9,49.15,41.0,4221.0,16673.0,30.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.7,39.0,45.56,38.0,456.5,161958456.0,7652.0
66.225,1379.5500000000002,41.0,39.5,27.9,48.0,41.55,4221.0,16673.0,29.5,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.745000000000005,39.5,45.61,38.0,457.0,161958462.0,7701.5
66.225,1363.65,40.5,39.5,27.85,48.349999999999994,40.65,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.6,40.0,45.62,38.0,459.0,161958468.0,7793.0
66.225,1355.85,41.0,39.0,27.6,47.95,41.3,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.715,39.5,45.56,38.0,462.0,161958468.0,7839.5
66.225,1353.65,42.0,39.0,25.6,47.7,41.7,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.695,39.5,45.715,38.0,463.0,161958468.0,7887.0
66.225,1353.9,41.5,39.5,26.9,48.599999999999994,41.5,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.56,40.0,45.93,38.0,463.5,161958472.0,7933.5
66.225,1412.4,41.0,39.5,32.4,49.15,43.45,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.505,40.0,45.8,38.0,464.0,161958476.0,7980.5
66.225,1381.1,40.5,39.0,28.7,46.2,45.15,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.49,40.0,45.73,38.0,464.0,161958480.0,8080.5
66.225,1388.9499999999998,40.0,39.0,29.45,47.7,42.95,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.705,40.0,45.76,38.0,464.0,161958486.0,8132.5
66.225,1398.8,40.0,39.0,29.35,46.25,43.0,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.665,40.0,45.83,38.0,464.5,161958490.0,8183.0
66.225,1363.5,39.5,39.5,29.45,46.25,42.3,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.41,40.0,45.87,38.0,465.0,161958492.0,8232.5
66.225,1365.0500000000002,39.0,40.5,36.35,51.15,43.400000000000006,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.44499999999999,40.0,45.79,38.0,465.0,161958496.0,8283.5
66.225,1351.65,39.5,40.0,30.05,48.55,42.9,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.68,39.0,45.63,38.0,463.5,161958500.0,8382.0
66.225,1356.9,40.5,39.0,31.7,48.15,42.3,4221.0,16673.0,29.0,28.0,0.0,8.0,29.0,24.0,0.0,0.0,45.55,39.5,45.745000000000005,38.0,463.0,161958500.0,8432.0
